site,code,latitude,longitude,site_type,postcode,valid
Stoke-on-Trent A50 Roadside,STKR,52.980436,-2.111898,Urban Traffic,ST3 5LT,TRUE
Stoke-on-Trent Centre,STOK,53.02821,-2.175133,Urban Background,ST1 1PS,TRUE
Sunderland,SUND,54.906106,-1.380081,Urban Background,SR1 1DX,TRUE
Sunderland Silksworth,SUN2,54.88361,-1.406878,Urban Background,SR3 1PT,TRUE
Sunderland Wessington Way,SUNR,54.91839,-1.408391,Urban Traffic,SR5 2BD,TRUE
Sutton Roadside,SUT1,51.36636,-0.182789,Urban Traffic,SM1 3RX,TRUE
Swansea,SWAN,51.62114,-3.943329,Urban Background,SA1 3DH,TRUE
Swansea Roadside,SWA1,51.632696,-3.947374,Urban Traffic,SA1 1HW,TRUE
Swindon Walcot,SWHO,51.558061,-1.765678,Urban Background,SN3 1AE,TRUE
Telford Hollinswood,TDHD,52.673471,-2.436692,Urban Background,TF3 2EX,TRUE
Walsall Alumwell,WAL,52.58167,-2.010483,Urban Background,WS2 9UA,TRUE
Warrington,WAR,53.38928,-2.615358,Urban Industrial,WA5 1NS,TRUE
Wicken Fen,WFEN,52.2985,0.290917,Rural Background,CB7 5XP,TRUE
Widnes Milton Road,WSMR,53.365391,-2.73168,Urban Traffic,WA8 6NL,TRUE
Wigan Centre,WIG5,53.54914,-2.638139,Urban Background,WN1 1HQ,TRUE
Wigan Leigh,WIG3,53.49422,-2.506899,Urban Background,WN7 2DA,TRUE
Wolverhampton Centre,WOLV,52.58818,-2.129008,Urban Background,WV1 1RJ,TRUE
Wray,WRAY,54.104666,-2.584182,Rural Background,LA2 8PN,TRUE
Aberdeen,ABD,57.15736,-2.094278,Urban Background,AB24 5PP,TRUE
Aberdeen Union Street Roadside,ABD7,57.144555,-2.106472,Urban Traffic,AB10 1TL,TRUE
Aberdeen Wellington Road,ABD8,57.133888,-2.094198,Urban Traffic,AB11 9AL,TRUE
Armagh Roadside,ARM6,54.353728,-6.654558,Urban Traffic,BT61 7HT,TRUE
Auchencorth Moss,ACTH,55.79216,-3.2429,Rural Background,EH26 8PR,TRUE
Ballymena Antrim Road,BAAR,54.851491,-6.274961,Urban Traffic,BT42 2HD,TRUE
Ballymena Ballykeel,BALM,54.861595,-6.250873,Urban Background,BT42 4DN,TRUE
Barnstaple A39,BPLE,51.074793,-4.041924,Urban Traffic,EX32 8NX,TRUE
Belfast Stockman's Lane,BEL1,54.572586,-5.974944,Urban Traffic,BT11 9DT,TRUE
Billingham,BIL,54.60537,-1.275039,Urban Industrial,TS23 4BA,TRUE
Bircotes,BIR,53.422855,-1.054946,Urban Background,DN11 8SJ,TRUE
Birkenhead Borough Road,BBRD,53.388511,-3.025014,Urban Traffic,CH41 2ST,TRUE
Bottesford,BOT,52.93028,-0.814722,Rural Background,NG13 0DH,TRUE
Burton-on-Trent Horninglow,BOTR,52.82105,-1.635718,Urban Background,DE14 2SQ,TRUE
Bush Estate,BUSH,55.862281,-3.205782,Rural Background,EH26 0QB,TRUE
Cannock A5190 Roadside,CANK,52.687298,-1.980821,Urban Traffic,WS12 3HF,TRUE
Central London,CLL,51.494722,-0.138333,Urban Background,SW1P 1PP,TRUE
Charlton Mackrell,MACK,51.05625,-2.68345,Rural Background,TA11 7AJ,TRUE
Chilbolton Observatory,CHBO,51.149617,-1.438228,Rural Background,SO20 6AN,TRUE
Chilworth,CHIL,50.962706,-1.424677,Suburban Background,SO16 7QQ,TRUE
Christchurch Barrack Road,CHBR,50.735454,-1.780888,Urban Traffic,BH23 1PE,TRUE
Cwmbran,CWMB,51.6538,-3.006953,Urban Background,NP44 2YB,TRUE
Cwmbran Crownbridge,CWMC,51.653819,-3.00637,Urban Background,NP44 2YB,TRUE
Derry,DERY,55.001225,-7.329115,Urban Background,BT48 7HJ,TRUE
Derry Rosemount,DERR,55.002818,-7.331179,Urban Background,BT48 7HR,TRUE
Dewsbury Ashworth Grove,DYAG,53.693104,-1.637111,Urban Background,WF13 2LD,TRUE
Eastbourne,EB,50.805778,0.271611,Urban Background,BN22 0TJ,TRUE
Eskdalemuir,ESK,55.31531,-3.206111,Rural Background,DG13 0QW,TRUE
Fort William,FW,56.82266,-5.101102,Suburban Background,PH33 6AN,TRUE
Greenock A8 Roadside,GKA8,55.944079,-4.734421,Urban Traffic,PA15 2TU,TRUE
Hartlepool St Abbs Walk,HSAW,54.683242,-1.203838,Urban Background,TS24 7NW,TRUE
Harwell,HAR,51.571078,-1.325283,Rural Background,OX11 0SG,TRUE
High Muffles,HM,54.334944,-0.80855,Rural Background,YO18 8HS,TRUE
Honiton,HONI,50.792287,-3.196702,Urban Background,EX14 2GP,TRUE
Immingham Woodlands Avenue,IMGM,53.619241,-0.213324,Urban Background,DN40 2JL,TRUE
Leamington Spa,LEAM,52.28881,-1.533119,Urban Background,CV32 4HF,TRUE
